"samplingpoint","year","qualitycode"
"27200",2014,"G"
"27300",2014,"I"
"27400",2014,"G"
"27500",2014,"G"
"27600",2014,"G"
"27700",2014,"G"
"27800",2014,"G"
"27900",2014,"G"
"28000",2014,"G"
"28100",2014,"G"
"28200",2014,"G"
"28300",2014,"G"
"28400",2014,"G"
"28500",2014,"G"
"28550",2014,"G"
"28600",2014,"G"
"28700",2014,"G"
"28800",2014,"G"
"28900",2014,"G"
"29000",2014,"G"
"29100",2014,"G"
"29200",2014,"G"
"29400",2014,"G"
"29500",2014,"G"
"29501",2014,"G"
"29800",2014,"G"
"29900",2014,"G"
"30000",2014,"G"
"30100",2014,"G"
"30200",2014,"I"
"30300",2014,"G"
"30400",2014,"G"
"30500",2014,"G"
"30600",2014,"G"
"30700",2014,"G"
"30800",2014,"G"
"30900",2014,"G"
"31000",2014,"G"
"31100",2014,"G"
"31200",2014,"G"
"31300",2014,"G"
"31400",2014,"G"
"31500",2014,"G"
"31600",2014,"G"
"31650",2014,"G"
"31700",2014,"G"
"31800",2014,"G"
"31900",2014,"G"
"32000",2014,"G"
"32100",2014,"I"
"32200",2014,"G"
"32300",2014,"G"
"32310",2014,"G"
"32320",2014,"I"
"32330",2014,"G"
"32340",2014,"I"
"32400",2014,"G"
"32500",2014,"G"
"32550",2014,"G"
"32600",2014,"G"
"32700",2014,"G"
"32800",2014,"G"
"32900",2014,"G"
"33000",2014,"G"
"33100",2014,"G"
"33200",2014,"G"
"33300",2014,"G"
"33350",2014,"G"
"33360",2014,"G"
"33400",2014,"G"
"33500",2014,"G"
"33600",2014,"G"
"33700",2014,"G"
"33800",2014,"G"
"33900",2014,"G"
"34000",2014,"I"
"34100",2014,"G"
"34200",2014,"G"
"34300",2014,"G"
"34400",2014,"G"
"34410",2014,"G"
"34450",2014,"G"
"34500",2014,"I"
"34600",2014,"I"
"34700",2014,"G"
"34800",2014,"G"
"34900",2014,"G"
"35000",2014,"I"
"35100",2014,"G"
"35200",2014,"I"
"35300",2014,"I"
"35500",2014,"G"
"35600",2014,"G"
"35700",2014,"I"
"35800",2014,"G"
"35900",2014,"G"
"36000",2014,"I"
"36050",2014,"I"
"36100",2014,"I"
"36200",2014,"G"
"36300",2014,"G"
"36400",2014,"G"
"36500",2014,"G"
"36600",2014,"G"
"36700",2014,"G"
"36800",2014,"G"
"36900",2014,"G"
"37000",2014,"G"
"37100",2014,"G"
"37200",2014,"G"
"37300",2014,"G"
"37400",2014,"G"
"37500",2014,"G"
"37600",2014,"G"
"37700",2014,"G"
"37800",2014,"G"
"37900",2014,"G"
"37940",2014,"I"
"37980",2014,"G"
"38000",2014,"G"
"38100",2014,"G"
"38150",2014,"G"
"38200",2014,"G"
"38210",2014,"G"
"38220",2014,"G"
"38230",2014,"G"
"38235",2014,"G"
"38238",2014,"G"
"38240",2014,"G"
"38248",2014,"G"
"38250",2014,"I"
"38255",2014,"G"
"38260",2014,"G"
"38280",2014,"G"
"38295",2014,"I"
"38300",2014,"G"
"38340",2014,"G"
"38380",2014,"I"
"38400",2014,"G"
"38460",2014,"G"
"38500",2014,"G"
"38520",2014,"G"
"38540",2014,"G"
"38600",2014,"G"
"38630",2014,"G"
"38640",2014,"G"
"38660",2014,"G"
"38670",2014,"G"
"38675",2014,"G"
"38680",2014,"G"
"38685",2014,"G"
"38688",2014,"I"
"38690",2014,"G"
"38700",2014,"I"
"38750",2014,"G"
"38800",2014,"I"
"38900",2014,"G"
"38920",2014,"G"
"39000",2014,"G"
"39050",2014,"G"
"39100",2014,"G"
"39200",2014,"G"
"39300",2014,"G"
"39350",2014,"G"
"39360",2014,"G"
"39400",2014,"G"
"39500",2014,"G"
"39600",2014,"G"
"39700",2014,"G"
"39800",2014,"G"
"39900",2014,"G"
"39920",2014,"G"
"39950",2014,"G"
"39960",2014,"I"
"39970",2014,"G"
"39975",2014,"G"
"39980",2014,"G"
"39985",2014,"G"
"39990",2014,"G"
"39993",2014,"G"
"39995",2014,"G"
"40000",2014,"G"
"40010",2014,"G"
"40030",2014,"G"
"40050",2014,"I"
"40085",2014,"G"
"40100",2014,"G"
"40105",2014,"G"
"40140",2014,"G"
"40170",2014,"G"
"40180",2014,"G"
"40200",2014,"G"
"40300",2014,"G"
"40400",2014,"G"
"40450",2014,"G"
"40500",2014,"G"
"40550",2014,"G"
"40600",2014,"I"
"40650",2014,"I"
"40700",2014,"G"
"40750",2014,"G"
"40800",2014,"G"
"40900",2014,"G"
"41000",2014,"G"
"41200",2014,"G"
"41300",2014,"I"
"41500",2014,"I"
"41800",2014,"I"
"41900",2014,"G"
"42100",2014,"I"
"42300",2014,"I"
"42500",2014,"I"
"42600",2014,"G"
"42800",2014,"I"
"43000",2014,"I"
"43260",2014,"I"
"43550",2014,"I"
"44200",2014,"I"
"44300",2014,"G"
"44400",2014,"I"
"44800",2014,"I"
"45200",2014,"G"
"45600",2014,"I"
"45625",2014,"G"
"45650",2014,"G"
"45700",2014,"G"
"45920",2014,"G"
"46000",2014,"I"
"46100",2014,"I"
"46300",2014,"I"
