"samplingpoint","year","fdate","ftime","ConcIEind","ConcIE","ConcECind","ConcEC","qualitycode","abnormalweather","Date","Status","Status Comments"
"03600","2014","12/08/2014","10:00",,45,,136,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"03600","2014","14/08/2014","12:06",,18,,136,"I","No","31/10/2014","New",
"05700","2014","07/08/2014","10:08",,198,,260,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"05700","2014","12/08/2014","12:15","<",10,"<",10,"G","No","31/10/2014","New",
"05800","2014","07/08/2014","10:27",,290,,360,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"05800","2014","12/08/2014","12:25","<",10,"<",10,"G","No","31/10/2014","New",
"11800","2014","26/08/2014","13:10",,36,,173,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"11800","2014","28/08/2014","13:51",,18,"<",10,"G","No","30/10/2014","New",
"11830","2014","21/09/2014","10:33",,90,,240,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"11830","2014","22/09/2014","11:53",,27,,36,"G","No","30/10/2014","New",
"11830","2014","26/08/2014","13:25",,82,,360,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"11830","2014","28/08/2014","14:08",,18,,136,"I","No","30/10/2014","New",
"11850","2014","26/08/2014","13:40",,45,,440,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"11850","2014","28/08/2014","14:24",,36,,36,"G","No","31/10/2014","New",
"11902","2014","26/08/2014","13:58",,82,,450,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"11902","2014","28/08/2014","14:40","<",10,,64,"G","No","31/10/2014","New",
"11904","2014","26/08/2014","14:10",,210,,2700,"F","No","31/10/2014","Withdrawn","Record withdrawn"
"11904","2014","28/08/2014","14:56","<",10,"<",10,"G","No","31/10/2014","New",
"15300","2014","06/08/2014","13:20",,270,,118,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"15300","2014","07/08/2014","13:37",,45,"<",10,"G","No","24/10/2014","New",
"15900","2014","27/08/2014","13:11",,18,,82,"G","No","28/10/2014","Update","Measurements corrected"
"17900","2014","01/09/2014","14:32",,27,,360,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"17900","2014","02/09/2014","14:58","<",10,"<",10,"G","No","24/10/2014","New",
"17900","2014","03/09/2014","11:46","<",10,"<",10,"G","No","24/10/2014","New",
"17900","2014","26/08/2014","14:02",,620,,470,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"18100","2014","02/09/2014","14:32","<",10,"<",10,"G","No","24/10/2014","New",
"18100","2014","26/08/2014","13:30",,200,,230,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"22100","2014","29/08/2014","12:30","<",10,,55,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"22100","2014","30/08/2014","16:12","<",10,"<",10,"G","No","31/10/2014","New",
"23800","2014","22/05/2014","10:40",,480,,182,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"23800","2014","25/05/2014","12:21",,18,,18,"G","No","31/10/2014","New",
"24000","2014","22/05/2014","11:55",,155,,100,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"24000","2014","25/05/2014","11:56",,82,,100,"G","No","31/10/2014","New",
"24100","2014","22/05/2014","12:10",,36,,36,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"24100","2014","25/05/2014","11:36","<",10,"<",10,"G","No","31/10/2014","New",
"24200","2014","22/05/2014","12:50",,55,,36,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"24200","2014","25/05/2014","11:16","<",10,"<",10,"G","No","31/10/2014","New",
"26400","2014","06/08/2014","11:05",,64,,173,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"26400","2014","08/08/2014","10:10","<",10,,18,"G","No","30/10/2014","New",
"26400","2014","26/08/2014","10:30",,470,,1400,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"26400","2014","27/06/2014","11:20",,27,,36,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"26400","2014","30/06/2014","11:50","<",10,"<",10,"G","No","30/10/2014","New",
"26400","2014","31/08/2014","13:52","<",10,"<",10,"G","No","30/10/2014","New",
"26500","2014","06/08/2014","11:25",,18,"<",10,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"26500","2014","08/08/2014","10:30","<",10,"<",10,"G","No","30/10/2014","New",
