"samplingpoint","year","fdate","ftime","ConcIEind","ConcIE","ConcECind","ConcEC","qualitycode","abnormalweather","Date","Status","Status Comments"
"26500","2014","26/08/2014","10:45",,490,,1100,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"26500","2014","27/06/2014","11:45","<",10,,18,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"26500","2014","30/06/2014","11:35","<",10,"<",10,"G","No","30/10/2014","New",
"26500","2014","31/08/2014","14:02","<",10,"<",10,"G","No","30/10/2014","New",
"26900","2014","26/08/2014","11:57",,18,,91,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"27000","2014","26/08/2014","10:08",,182,,118,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"27300","2014","23/05/2014","12:40",,18,,182,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"27300","2014","26/08/2014","11:25",,82,,250,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"27300","2014","27/05/2014","14:51","<",10,,27,"G","No","30/10/2014","New",
"30300","2014","25/08/2014","13:45",,36,,73,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"32100","2014","27/06/2014","13:15",,45,,55,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"32100","2014","30/06/2014","11:00","<",10,"<",10,"G","No","30/10/2014","New",
"34700","2014","11/06/2014","12:30",,210,,520,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"34700","2014","13/06/2014","10:40","<",10,"<",10,"G","No","31/10/2014","New",
"35700","2014","09/07/2014","16:14",,55,,100,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"35700","2014","11/07/2014","18:03",,45,,18,"G","No","24/10/2014","New",
"36100","2014","14/08/2014","12:20","<",10,"",36,"G","No","16/10/2014","New",
"36200","2014","14/08/2014","12:50","",127,"",73,"I","No","16/10/2014","New",
"36300","2014","14/08/2014","14:45","<",10,"",18,"G","No","16/10/2014","New",
"36400","2014","14/08/2014","16:30","",18,"",27,"G","No","16/10/2014","New",
"36400","2014","19/08/2014","10:30","<",10,"<",10,"G","No","27/10/2014","New",
"36500","2014","14/08/2014","15:30","",18,"",55,"G","No","16/10/2014","New",
"36500","2014","19/08/2014","11:10","<",10,"<",10,"G","No","27/10/2014","New",
"36600","2014","14/08/2014","15:00","<",10,"",82,"G","No","16/10/2014","New",
"36600","2014","19/08/2014","11:35","<",10,"<",10,"G","No","31/10/2014","New",
"36700","2014","14/08/2014","14:00","",18,"",82,"G","No","16/10/2014","New",
"36700","2014","19/08/2014","12:30","<",10,"<",10,"G","No","27/10/2014","New",
"36800","2014","14/08/2014","12:00","",27,"",82,"G","No","16/10/2014","New",
"36800","2014","19/08/2014","14:00","",45,"<",10,"G","No","27/10/2014","New",
"36900","2014","10/09/2014","10:00",,148,,109,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"36900","2014","11/09/2014","16:26","",63,"",36,"G","No","21/10/2014","New",
"36900","2014","17/07/2014","10:05",,18,,27,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"36900","2014","17/07/2014","16:25","<",10,"<",10,"G","No","21/10/2014","New",
"36900","2014","17/08/2014","10:55","",82,"",45,"G","No","16/10/2014","New",
"36900","2014","19/08/2014","12:30","<",10,"",36,"G","No","27/10/2014","New",
"37000","2014","17/08/2014","10:35","<",10,"<",10,"G","No","16/10/2014","New",
"37000","2014","19/08/2014","11:55","<",10,"<",10,"G","No","27/10/2014","New",
"37100","2014","17/08/2014","10:05","",82,"",18,"G","No","16/10/2014","New",
"37100","2014","19/08/2014","11:30","",1409,"",2600,"F","No","27/10/2014","New",
"37200","2014","17/08/2014","14:30","<",10,"<",10,"G","No","16/10/2014","New",
"37200","2014","19/08/2014","10:50","",18,"<",10,"G","No","27/10/2014","New",
"37300","2014","17/08/2014","15:00","<",10,"<",10,"G","No","16/10/2014","New",
"37300","2014","19/08/2014","10:05","<",10,"<",10,"G","No","27/10/2014","New",
"37400","2014","17/08/2014","11:50","<",10,"<",10,"G","No","16/10/2014","New",
"37400","2014","19/08/2014","15:20","<",10,"<",10,"G","No","27/10/2014","New",
"37500","2014","17/08/2014","12:30","<",10,"<",10,"G","No","16/10/2014","New",
"37500","2014","19/08/2014","14:45","<",10,"<",10,"G","No","27/10/2014","New",
"37600","2014","17/08/2014","13:30","<",10,"<",10,"G","No","16/10/2014","New",
"37600","2014","19/08/2014","14:00","<",10,"<",10,"G","No","27/10/2014","New",
"37700","2014","14/08/2014","10:50","<",10,"",36,"G","No","16/10/2014","New",
"37700","2014","19/08/2014","15:20","<",10,"<",10,"G","No","27/10/2014","New",
"37800","2014","12/08/2014","10:10","",27,"",64,"G","No","16/10/2014","New",
"37800","2014","18/08/2014","13:55","<",10,"<",10,"G","No","16/10/2014","New",
"37900","2014","12/08/2014","10:55","",27,"<",10,"G","No","16/10/2014","New",
"37900","2014","18/08/2014","12:55","<",10,"<",10,"G","No","16/10/2014","New",
"37940","2014","12/08/2014","11:25","",27,"",27,"G","No","16/10/2014","New",
"37940","2014","18/08/2014","12:25","<",10,"<",10,"G","No","16/10/2014","New",
"37980","2014","12/08/2014","11:45","",18,"",27,"G","No","16/10/2014","New",
"37980","2014","18/08/2014","12:00","<",10,"<",10,"G","No","16/10/2014","New",
"38000","2014","12/08/2014","12:15","<",10,"",27,"G","No","16/10/2014","New",
"38000","2014","18/08/2014","11:35","<",10,"<",10,"G","No","16/10/2014","New",
"38100","2014","12/08/2014","12:45","",18,"",64,"G","No","16/10/2014","New",
"38100","2014","18/08/2014","10:00","<",10,"<",10,"G","No","16/10/2014","New",
"38150","2014","12/08/2014","13:15","<",10,"<",10,"G","No","16/10/2014","New",
"38150","2014","18/08/2014","10:35","<",10,"<",10,"G","No","16/10/2014","New",
"38200","2014","12/08/2014","13:35","",27,"",700,"I","No","16/10/2014","New",
"38200","2014","18/08/2014","11:00","<",10,"<",10,"G","No","16/10/2014","New",
"38210","2014","12/08/2014","14:15","",36,"",27,"G","No","16/10/2014","New",
"38210","2014","18/08/2014","13:50","",36,"",18,"G","No","16/10/2014","New",
"38220","2014","12/08/2014","13:45","<",10,"<",10,"G","No","16/10/2014","New",
"38220","2014","18/08/2014","13:20","",18,"<",10,"G","No","16/10/2014","New",
"38230","2014","12/08/2014","13:20","<",10,"<",10,"G","No","16/10/2014","New",
"38230","2014","18/08/2014","12:50","<",10,"<",10,"G","No","16/10/2014","New",
"38235","2014","12/08/2014","12:30","<",10,"<",10,"G","No","16/10/2014","New",
"38235","2014","18/08/2014","12:00","<",10,"<",10,"G","No","16/10/2014","New",
"38238","2014","12/08/2014","11:50","<",10,"<",10,"G","No","16/10/2014","New",
"38238","2014","18/08/2014","11:15","<",10,"<",10,"G","No","16/10/2014","New",
"38240","2014","12/08/2014","11:05","",220,"",18,"I","No","16/10/2014","New",
"38240","2014","18/08/2014","10:10","<",10,"<",10,"G","No","16/10/2014","New",
"38248","2014","11/08/2014","10:00","<",10,"<",10,"G","No","16/10/2014","New",
"38248","2014","21/08/2014","14:55","<",10,"<",10,"G","No","27/10/2014","New",
"38250","2014","11/08/2014","10:35","",210,"",91,"I","No","16/10/2014","New",
"38250","2014","21/08/2014","14:10","",36,"<",10,"G","No","27/10/2014","New",
"38255","2014","10/08/2014","11:25","",10000,">",10000,"F","No","23/10/2014","Update","Measurements corrected"
"38255","2014","11/08/2014","12:25","",164,"",260,"I","No","16/10/2014","New",
"38255","2014","21/08/2014","11:00","",76,"",18,"G","No","27/10/2014","New",
"38260","2014","11/08/2014","13:10","",27,"",73,"G","No","16/10/2014","New",
"38260","2014","21/08/2014","12:10","<",10,"<",10,"G","No","27/10/2014","New",
"38280","2014","13/08/2014","14:15","<",10,"<",10,"G","No","16/10/2014","New",
"38280","2014","21/08/2014","11:30","<",10,"<",10,"G","No","27/10/2014","New",
"38295","2014","13/08/2014","12:50","<",10,"<",10,"G","No","16/10/2014","New",
"38295","2014","21/08/2014","12:30","<",10,"<",10,"G","No","27/10/2014","New",
"38300","2014","13/08/2014","11:50","",18,"",45,"G","No","16/10/2014","New",
"38300","2014","21/08/2014","13:15","<",10,"<",10,"G","No","27/10/2014","New",
"38340","2014","13/08/2014","11:15","<",10,"<",10,"G","No","16/10/2014","New",
"38340","2014","21/08/2014","13:45","<",10,"<",10,"G","No","27/10/2014","New",
"38380","2014","13/08/2014","10:00","",280,"",100,"I","No","16/10/2014","New",
"38380","2014","21/08/2014","14:10","<",10,"<",10,"G","No","27/10/2014","New",
"38400","2014","17/08/2014","11:05","<",10,"<",10,"G","No","16/10/2014","New",
"38400","2014","20/08/2014","15:50","<",10,"<",10,"G","No","27/10/2014","New",
"38460","2014","17/08/2014","11:40","",18,"<",10,"G","No","16/10/2014","New",
"38460","2014","20/08/2014","15:00","<",10,"<",10,"G","No","31/10/2014","New",
"38500","2014","17/08/2014","12:15","<",10,"",18,"G","No","16/10/2014","New",
"38500","2014","20/08/2014","13:45","",18,"<",10,"G","No","31/10/2014","New",
"38520","2014","17/08/2014","13:10","<",10,"",18,"G","No","16/10/2014","New",
"38520","2014","20/08/2014","13:15","<",10,"<",10,"G","No","31/10/2014","New",
"38540","2014","17/08/2014","13:40","<",10,"",18,"G","No","16/10/2014","New",
"38540","2014","20/08/2014","12:25","<",10,"<",10,"G","No","27/10/2014","New",
"38600","2014","17/08/2014","14:30","",18,"<",10,"G","No","16/10/2014","New",
"38600","2014","20/08/2014","11:30","<",10,"",18,"G","No","27/10/2014","New",
"38630","2014","17/08/2014","13:40","<",10,"",27,"G","No","16/10/2014","New",
"38630","2014","20/08/2014","13:45","",36,"",164,"I","No","27/10/2014","New",
"38640","2014","17/08/2014","12:35","<",10,"",64,"G","No","16/10/2014","New",
"38640","2014","20/08/2014","12:25","<",10,"<",10,"G","No","27/10/2014","New",
"38660","2014","17/08/2014","11:45","",18,"<",10,"G","No","16/10/2014","New",
"38660","2014","20/08/2014","11:45","",259,"",1164,"I","No","27/10/2014","New",
"38670","2014","17/08/2014","11:05","",100,"",270,"I","No","16/10/2014","New",
"38670","2014","20/08/2014","11:15","",18,"<",10,"G","No","27/10/2014","New",
"38675","2014","17/08/2014","10:40","<",10,"<",10,"G","No","16/10/2014","New",
"38675","2014","20/08/2014","10:40","<",10,"<",10,"G","No","27/10/2014","New",
"38680","2014","17/08/2014","10:10","<",10,"<",10,"G","No","16/10/2014","New",
"38680","2014","20/08/2014","10:10","<",10,"<",10,"G","No","27/10/2014","New",
"38685","2014","17/08/2014","10:05","<",10,"",36,"G","No","16/10/2014","New",
"38685","2014","20/08/2014","10:05","<",10,"<",10,"G","No","27/10/2014","New",
"38688","2014","13/08/2014","10:20","<",10,"",18,"G","No","16/10/2014","New",
"38688","2014","21/08/2014","10:30","<",10,"<",10,"G","No","27/10/2014","New",
"38690","2014","13/08/2014","10:05","",18,"",27,"G","No","16/10/2014","New",
"38690","2014","21/08/2014","10:15","<",10,"<",10,"G","No","27/10/2014","New",
"38700","2014","13/08/2014","10:40","",18,"",64,"G","No","16/10/2014","New",
"38700","2014","21/08/2014","11:00","<",10,"<",10,"G","No","27/10/2014","New",
"38750","2014","13/08/2014","11:30","",64,"",36,"G","No","16/10/2014","New",
"38750","2014","21/08/2014","11:50","",18,"<",10,"G","No","27/10/2014","New",
"38800","2014","13/08/2014","12:30","",145,"",220,"I","No","16/10/2014","New",
"38800","2014","21/08/2014","12:45","",18,"",45,"G","No","27/10/2014","New",
"38900","2014","13/08/2014","13:10","",73,"",45,"G","No","16/10/2014","New",
"38900","2014","21/08/2014","13:20","",27,"",36,"G","No","27/10/2014","New",
"38920","2014","13/08/2014","13:45","<",10,"",27,"G","No","16/10/2014","New",
"38920","2014","21/08/2014","13:50","<",10,"<",10,"G","No","27/10/2014","New",
"39000","2014","13/08/2014","14:15","",36,"",136,"I","No","16/10/2014","New",
"39000","2014","21/08/2014","14:25","<",10,"<",10,"G","No","27/10/2014","New",
"39050","2014","14/08/2014","14:30","<",10,"",36,"G","No","16/10/2014","New",
"39050","2014","18/08/2014","14:35","<",10,"<",10,"G","No","16/10/2014","New",
"39100","2014","14/08/2014","13:55","<",10,"",18,"G","No","16/10/2014","New",
"39100","2014","18/08/2014","16:00","",18,"<",10,"G","No","16/10/2014","New",
"39200","2014","14/08/2014","16:05","<",10,"<",10,"G","No","16/10/2014","New",
"39200","2014","18/08/2014","16:35","<",10,"<",10,"G","No","16/10/2014","New",
"39300","2014","13/08/2014","16:40","<",10,"",18,"G","No","16/10/2014","New",
"39300","2014","19/08/2014","13:30","<",10,"<",10,"G","No","16/10/2014","New",
"39350","2014","13/08/2014","16:05","<",10,"<",10,"G","No","16/10/2014","New",
"39350","2014","19/08/2014","15:00","",27,"<",10,"G","No","15/10/2014","New",
"39360","2014","13/08/2014","15:00","<",10,"<",10,"G","No","16/10/2014","New",
"39360","2014","19/08/2014","14:30","<",10,"<",10,"G","No","15/10/2014","New",
"39400","2014","13/08/2014","14:15","<",10,"<",10,"G","No","16/10/2014","New",
"39400","2014","19/08/2014","15:25","<",10,"<",10,"G","No","15/10/2014","New",
"39500","2014","13/08/2014","13:30","",18,"",250,"I","No","16/10/2014","New",
"39500","2014","19/08/2014","12:10","<",10,"<",10,"G","No","16/10/2014","New",
"39600","2014","14/08/2014","10:05","<",10,"",18,"G","No","16/10/2014","New",
"39600","2014","18/08/2014","16:38","<",10,"<",10,"G","No","16/10/2014","New",
"39700","2014","14/08/2014","10:45","<",10,"<",10,"G","No","16/10/2014","New",
"39700","2014","18/08/2014","16:00","<",10,"<",10,"G","No","16/10/2014","New",
"39800","2014","14/08/2014","11:45","<",10,"<",10,"G","No","16/10/2014","New",
"39800","2014","18/08/2014","14:40","<",10,"<",10,"G","No","16/10/2014","New",
"39900","2014","14/08/2014","12:15","",18,"<",10,"G","No","16/10/2014","New",
"39900","2014","18/08/2014","13:30","<",10,"<",10,"G","No","16/10/2014","New",
"39920","2014","17/08/2014","16:50","<",10,"<",10,"G","No","16/10/2014","New",
"39920","2014","21/08/2014","11:45","<",10,"<",10,"G","No","16/10/2014","New",
"39950","2014","17/08/2014","16:05","<",10,"<",10,"G","No","16/10/2014","New",
"39950","2014","21/08/2014","13:20","<",10,"<",10,"G","No","16/10/2014","New",
"39960","2014","17/08/2014","15:20","",64,"",73,"G","No","16/10/2014","New",
"39960","2014","21/08/2014","14:10","<",10,"<",10,"G","No","15/10/2014","New",
"39970","2014","17/08/2014","14:10","<",10,"<",10,"G","No","16/10/2014","New",
"39970","2014","21/08/2014","10:05","<",10,"<",10,"G","No","16/10/2014","New",
"39975","2014","17/08/2014","13:35","<",10,"",18,"G","No","17/10/2014","New",
"39975","2014","21/08/2014","13:00","<",10,"<",10,"G","No","21/10/2014","New",
"39980","2014","13/08/2014","10:45","",18,"<",10,"G","No","21/10/2014","New",
"39980","2014","20/08/2014","11:30","<",10,"<",10,"G","No","16/10/2014","New",
"39985","2014","13/08/2014","11:45","<",10,"<",10,"G","No","21/10/2014","New",
"39985","2014","20/08/2014","12:45","<",10,"<",10,"G","No","16/10/2014","New",
"39990","2014","13/08/2014","13:05","<",10,"",27,"G","No","21/10/2014","New",
"39990","2014","20/08/2014","16:10","<",10,"<",10,"G","No","16/10/2014","New",
"39993","2014","13/08/2014","13:40","<",10,"<",10,"G","No","21/10/2014","New",
"39993","2014","20/08/2014","15:35","<",10,"<",10,"G","No","24/10/2014","New",
"39995","2014","13/08/2014","14:10","",18,"<",10,"G","No","21/10/2014","New",
"39995","2014","20/08/2014","15:05","<",10,"<",10,"G","No","16/10/2014","New",
"40000","2014","13/08/2014","14:40","",27,"<",10,"G","No","21/10/2014","New",
"40000","2014","20/08/2014","14:40","<",10,"<",10,"G","No","16/10/2014","New",
"40010","2014","12/08/2014","12:20","",64,"",55,"G","No","16/10/2014","New",
"40010","2014","20/08/2014","13:45","<",10,"<",10,"G","No","16/10/2014","New",
"40030","2014","13/08/2014","16:05","<",10,"<",10,"G","No","16/10/2014","New",
"40030","2014","19/08/2014","12:55","<",10,"<",10,"G","No","16/10/2014","New",
"40050","2014","13/08/2014","15:30","",290,"",340,"I","No","16/10/2014","New",
"40050","2014","19/08/2014","12:15","",36,"",18,"G","No","16/10/2014","New",
"40085","2014","13/08/2014","15:00","",27,"",145,"I","No","16/10/2014","New",
"40085","2014","19/08/2014","14:10","<",10,"<",10,"G","No","16/10/2014","New",
"40100","2014","13/08/2014","14:00","",18,"<",10,"G","No","16/10/2014","New",
"40100","2014","19/08/2014","10:05","<",10,"<",10,"G","No","16/10/2014","New",
"40105","2014","13/08/2014","14:20","",36,"",36,"G","No","16/10/2014","New",
"40105","2014","19/08/2014","10:50","<",10,"<",10,"G","No","16/10/2014","New",
"40140","2014","13/08/2014","12:05","",127,"",100,"I","No","16/10/2014","New",
"40140","2014","19/08/2014","11:40","<",10,"<",10,"G","No","16/10/2014","New",
"40170","2014","12/08/2014","16:00","",145,"",230,"I","No","16/10/2014","New",
"40170","2014","20/08/2014","15:25","",18,"",36,"G","No","16/10/2014","New",
"40180","2014","12/08/2014","14:35","",55,"",18,"G","No","16/10/2014","New",
"40180","2014","20/08/2014","16:20","<",10,"",27,"G","No","16/10/2014","New",
"40200","2014","12/08/2014","13:55","",36,"",27,"G","No","16/10/2014","New",
"40200","2014","20/08/2014","16:00","<",10,"<",10,"G","No","16/10/2014","New",
"40300","2014","12/08/2014","12:15","",82,"",55,"G","No","16/10/2014","New",
"40300","2014","20/08/2014","14:00","<",10,"<",10,"G","No","16/10/2014","New",
"40400","2014","12/08/2014","15:20","<",10,"<",10,"G","No","16/10/2014","New",
"40400","2014","20/08/2014","13:15","",27,"",64,"G","No","16/10/2014","New",
"40450","2014","19/08/2014","15:20","<",10,"<",10,"G","No","16/10/2014","New",
"40450","2014","21/08/2014","16:45","",18,"",55,"G","No","15/10/2014","New",
"40500","2014","19/08/2014","14:48","",18,"",18,"G","No","16/10/2014","New",
"40500","2014","21/08/2014","16:15","<",10,"",27,"G","No","15/10/2014","New",
"40550","2014","19/08/2014","14:15","",36,"<",10,"G","No","16/10/2014","New",
"40550","2014","21/08/2014","12:55","<",10,"<",10,"G","No","16/10/2014","New",
"40600","2014","19/08/2014","13:10","<",10,"<",10,"G","No","16/10/2014","New",
"40600","2014","21/08/2014","14:20","",54,"",100,"G","No","15/10/2014","New",
"40650","2014","19/08/2014","12:55","<",10,"<",10,"G","No","16/10/2014","New",
"40650","2014","21/08/2014","14:50","",63,"",27,"G","No","16/10/2014","New",
"40700","2014","19/08/2014","11:45","",36,"",18,"G","No","16/10/2014","New",
"40700","2014","21/08/2014","15:25","",36,"",18,"G","No","15/10/2014","New",
"41500","2014","22/08/2014","10:30",,90,,540,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"41500","2014","26/08/2014","12:11",,18,,45,"G","No","30/10/2014","New",
"41800","2014","11/06/2014","10:50",,18,,27,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"41800","2014","11/09/2014","14:10",,145,,127,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"41800","2014","13/06/2014","12:06","<",10,,45,"G","No","30/10/2014","New",
"41800","2014","13/08/2014","14:35",,680,,873,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"41800","2014","16/09/2014","16:46","<",10,"<",10,"G","No","30/10/2014","New",
"41800","2014","20/08/2014","08:01",,82,,118,"I","No","30/10/2014","New",
"41900","2014","11/09/2014","13:55",,100,,91,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"41900","2014","13/08/2014","14:20",,140,,700,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"41900","2014","16/09/2014","16:31",,18,"<",10,"G","No","30/10/2014","New",
"41900","2014","20/08/2014","08:21",,136,,109,"I","No","30/10/2014","New",
"42600","2014","01/08/2014","11:30",,100,,91,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"42600","2014","04/08/2014","13:45","<",10,,36,"G","No","30/10/2014","New",
"42600","2014","06/07/2014","11:40","<",10,,18,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"42600","2014","09/07/2014","12:51","<",10,"<",10,"G","No","30/10/2014","New",
"44200","2014","12/08/2014","12:30",,100,,873,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"44200","2014","12/09/2014","12:35",,36,"<",10,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"44200","2014","14/08/2014","13:15",,145,,520,"I","No","30/10/2014","New",
"44200","2014","19/09/2014","10:26","<",10,"<",10,"G","No","30/10/2014","New",
"44800","2014","12/09/2014","12:48",,99,,460,"I","No","31/10/2014","Withdrawn","Record withdrawn"
"44800","2014","19/09/2014","09:01","<",10,,109,"I","No","30/10/2014","New",
"45920","2014","10/06/2014","12:10",,27,,27,"G","No","31/10/2014","Withdrawn","Record withdrawn"
"45920","2014","11/06/2014","11:55",,18,,27,"G","No","30/10/2014","New",
