 Site,Datetime        ,Prediction,Prediction_text_en,Prediction_text_cy
24000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
24100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
24200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
25200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
25600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
25700,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
25800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
26000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
26100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
26200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
26300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
26400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
26500,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
26800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
26900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
27000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
27100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
27200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
27300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
27400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
28100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
28200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
28400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
28550,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
28800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
28900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
