"samplingpoint","year","qualitycode"
"27300",2013,"G"
"27400",2013,"G"
"27500",2013,"G"
"27600",2013,"G"
"27700",2013,"G"
"27800",2013,"G"
"27900",2013,"G"
"28000",2013,"I"
"28100",2013,"I"
"28200",2013,"I"
"28300",2013,"G"
"28400",2013,"G"
"28500",2013,"G"
"28550",2013,"G"
"28600",2013,"G"
"28700",2013,"G"
"28800",2013,"I"
"28900",2013,"G"
"29000",2013,"G"
"29100",2013,"G"
"29200",2013,"G"
"29400",2013,"G"
"29500",2013,"G"
"29501",2013,"G"
"29800",2013,"G"
"29900",2013,"G"
"30000",2013,"G"
"30100",2013,"G"
"30200",2013,"G"
"30300",2013,"G"
"30400",2013,"G"
"30500",2013,"G"
"30600",2013,"G"
"30700",2013,"G"
"30800",2013,"G"
"30900",2013,"G"
"31000",2013,"G"
"31100",2013,"G"
"31200",2013,"G"
"31300",2013,"G"
"31400",2013,"G"
"31500",2013,"G"
"31600",2013,"G"
"31650",2013,"G"
"31700",2013,"G"
"31800",2013,"G"
"31900",2013,"G"
"32000",2013,"G"
"32100",2013,"G"
"32200",2013,"G"
"32300",2013,"G"
"32310",2013,"G"
"32320",2013,"G"
"32330",2013,"G"
"32340",2013,"I"
"32400",2013,"G"
"32500",2013,"G"
"32550",2013,"G"
"32600",2013,"G"
"32700",2013,"G"
"32800",2013,"G"
"32900",2013,"G"
"33000",2013,"G"
"33100",2013,"G"
"33200",2013,"G"
"33300",2013,"G"
"33350",2013,"G"
"33360",2013,"G"
"33400",2013,"G"
"33500",2013,"G"
"33600",2013,"G"
"33700",2013,"G"
"33800",2013,"G"
"33900",2013,"G"
"34000",2013,"F"
"34100",2013,"G"
"34200",2013,"G"
"34300",2013,"G"
"34400",2013,"G"
"34410",2013,"G"
"34450",2013,"G"
"34500",2013,"I"
"34600",2013,"G"
"34700",2013,"G"
"34800",2013,"G"
"34900",2013,"G"
"35000",2013,"G"
"35100",2013,"I"
"35200",2013,"I"
"35300",2013,"I"
"35500",2013,"G"
"35600",2013,"G"
"35700",2013,"I"
"35800",2013,"G"
"35900",2013,"G"
"36000",2013,"G"
"36100",2013,"G"
"36200",2013,"G"
"36300",2013,"G"
"36400",2013,"G"
"36500",2013,"G"
"36600",2013,"G"
"36700",2013,"G"
"36800",2013,"I"
"36900",2013,"G"
"37000",2013,"G"
"37100",2013,"G"
"37200",2013,"G"
"37300",2013,"I"
"37400",2013,"G"
"37500",2013,"G"
"37600",2013,"G"
"37700",2013,"G"
"37800",2013,"G"
"37900",2013,"G"
"37940",2013,"I"
"37980",2013,"G"
"38000",2013,"G"
"38100",2013,"G"
"38150",2013,"G"
"38200",2013,"G"
"38210",2013,"G"
"38220",2013,"G"
"38230",2013,"G"
"38235",2013,"G"
"38238",2013,"G"
"38240",2013,"G"
"38248",2013,"G"
"38250",2013,"G"
"38255",2013,"I"
"38260",2013,"G"
"38280",2013,"G"
"38295",2013,"G"
"38300",2013,"G"
"38340",2013,"G"
"38380",2013,"G"
"38400",2013,"G"
"38460",2013,"G"
"38500",2013,"G"
"38520",2013,"G"
"38540",2013,"G"
"38600",2013,"G"
"38630",2013,"G"
"38640",2013,"G"
"38660",2013,"G"
"38670",2013,"G"
"38675",2013,"G"
"38680",2013,"G"
"38685",2013,"G"
"38688",2013,"I"
"38690",2013,"G"
"38700",2013,"G"
"38750",2013,"G"
"38800",2013,"I"
"38900",2013,"G"
"38920",2013,"I"
"39000",2013,"G"
"39050",2013,"F"
"39100",2013,"G"
"39200",2013,"G"
"39300",2013,"G"
"39350",2013,"G"
"39360",2013,"G"
"39400",2013,"G"
"39500",2013,"G"
"39600",2013,"G"
"39700",2013,"G"
"39800",2013,"G"
"39900",2013,"G"
"39920",2013,"G"
"39950",2013,"G"
"39960",2013,"G"
"39970",2013,"G"
"39980",2013,"G"
"39985",2013,"G"
"39990",2013,"G"
"39993",2013,"G"
"39995",2013,"G"
"40000",2013,"G"
"40010",2013,"G"
"40030",2013,"G"
"40050",2013,"I"
"40085",2013,"G"
"40100",2013,"G"
"40105",2013,"G"
"40140",2013,"G"
"40170",2013,"G"
"40180",2013,"G"
"40200",2013,"G"
"40300",2013,"I"
"40400",2013,"G"
"40450",2013,"G"
"40500",2013,"G"
"40550",2013,"G"
"40600",2013,"I"
"40700",2013,"G"
"40750",2013,"G"
"40800",2013,"G"
"40900",2013,"G"
"41000",2013,"I"
"41200",2013,"G"
"41300",2013,"I"
"41500",2013,"I"
"41800",2013,"F"
"41900",2013,"I"
"42100",2013,"I"
"42300",2013,"I"
"42500",2013,"I"
"42600",2013,"I"
"42800",2013,"I"
"43000",2013,"F"
"43260",2013,"I"
"43550",2013,"I"
"44200",2013,"I"
"44300",2013,"I"
"44400",2013,"I"
"44500",2013,"I"
"44590",2013,"I"
"44800",2013,"I"
"45200",2013,"G"
"45600",2013,"F"
"45625",2013,"G"
"45650",2013,"G"
"45700",2013,"I"
"45920",2013,"G"
"46000",2013,"I"
"46100",2013,"F"
"46300",2013,"I"
