"samplingpoint","year","fdate","ftime","ConcIEind","ConcIE","ConcECind","ConcEC","qualitycode","abnormalweather","Date","Status","Status Comments"
"03600","2014","12/08/2014","10:00",,45,,136,"I","No","19/08/2014","New",
"03700","2014","12/08/2014","10:55","<",10,"<",10,"G","No","19/08/2014","New",
"03800","2014","12/08/2014","11:10",,55,,64,"G","No","19/08/2014","New",
"03900","2014","12/08/2014","11:40",,250,,290,"I","No","19/08/2014","New",
"04000","2014","12/08/2014","12:05",,27,,55,"G","No","19/08/2014","New",
"04200","2014","12/08/2014","12:25","<",10,"<",10,"G","No","19/08/2014","New",
"04250","2014","12/08/2014","11:50",,45,"<",10,"G","No","19/08/2014","New",
"04280","2014","12/08/2014","11:15",,36,,64,"G","No","19/08/2014","New",
"04300","2014","12/08/2014","10:50","<",10,"<",10,"G","No","19/08/2014","New",
"04400","2014","12/08/2014","10:25",,64,,55,"G","No","19/08/2014","New",
"04500","2014","12/08/2014","10:15","<",10,,18,"G","No","19/08/2014","New",
"05700","2014","13/08/2014","10:00","<",10,"<",10,"G","No","19/08/2014","New",
"05800","2014","13/08/2014","10:20","<",10,"<",10,"G","No","19/08/2014","New",
"05900","2014","13/08/2014","11:55",,36,,36,"G","No","19/08/2014","New",
"06000","2014","13/08/2014","11:30",,64,,18,"G","No","19/08/2014","New",
"06100","2014","13/08/2014","11:10",,530,,360,"I","No","19/08/2014","New",
"06200","2014","13/08/2014","10:50","<",10,"<",10,"G","No","19/08/2014","New",
"06300","2014","13/08/2014","11:30",,250,,82,"I","No","19/08/2014","New",
"06400","2014","13/08/2014","11:15",,73,,36,"G","No","19/08/2014","New",
"06500","2014","13/08/2014","10:58",,118,,136,"I","No","19/08/2014","New",
"06600","2014","13/08/2014","10:38",,27,,18,"G","No","19/08/2014","New",
"06650","2014","13/08/2014","10:21",,55,,82,"G","No","19/08/2014","New",
"06700","2014","13/08/2014","10:00",,155,,45,"I","No","19/08/2014","New",
"06800","2014","12/08/2014","10:00",,1200,,945,"I","No","19/08/2014","New",
"06900","2014","12/08/2014","10:20","<",10,"<",10,"G","No","19/08/2014","New",
"07000","2014","12/08/2014","10:55",,320,,1700,"I","No","19/08/2014","New",
"07100","2014","12/08/2014","11:11","<",10,"<",10,"G","No","19/08/2014","New",
"07200","2014","12/08/2014","12:00",,18,"<",10,"G","No","19/08/2014","New",
"07300","2014","12/08/2014","12:48",,55,,36,"G","No","19/08/2014","New",
"07400","2014","12/08/2014","13:05",,45,,64,"G","No","19/08/2014","New",
"07500","2014","12/08/2014","13:30","<",10,"<",10,"G","No","19/08/2014","New",
"07600","2014","12/08/2014","13:50",,350,,260,"I","No","19/08/2014","New",
"07700","2014","12/08/2014","14:15",,46,,36,"G","No","19/08/2014","New",
"07900","2014","14/08/2014","16:50","<",10,"<",10,"G","No","19/08/2014","New",
"07950","2014","14/08/2014","16:10","<",10,"<",10,"G","No","19/08/2014","New",
"08000","2014","14/08/2014","15:20",,45,,27,"G","No","19/08/2014","New",
"08100","2014","14/08/2014","14:30",,18,,18,"G","No","19/08/2014","New",
"08200","2014","14/08/2014","14:05",,210,,182,"I","No","19/08/2014","New",
"08300","2014","14/08/2014","13:20",,650,,18,"I","No","19/08/2014","New",
"08600","2014","14/08/2014","12:35",,136,,82,"I","No","19/08/2014","New",
"08700","2014","14/08/2014","11:50",,64,"<",10,"G","No","19/08/2014","New",
"08800","2014","14/08/2014","10:50",,73,,64,"G","No","19/08/2014","New",
"08900","2014","14/08/2014","10:35",,230,,100,"I","No","19/08/2014","New",
"09850","2014","14/08/2014","10:40",,73,,100,"G","No","19/08/2014","New",
"10000","2014","12/08/2014","10:30",,182,,91,"I","No","19/08/2014","New",
"10100","2014","12/08/2014","12:00","<",10,"<",10,"G","No","19/08/2014","New",
"10200","2014","12/08/2014","13:20",,82,,64,"G","No","19/08/2014","New",
"10300","2014","12/08/2014","14:00",,114,,118,"I","No","19/08/2014","New",
"10310","2014","12/08/2014","15:00",,27,"<",10,"G","No","19/08/2014","New",
"10325","2014","12/08/2014","15:45","<",10,,27,"G","No","19/08/2014","New",
