WIMS_SP_REF,BW_REF,From Date,To Date,First Season,Final Season
NW-88009870,44300,01/05/1988,,1988,
NW-88009871,44400,01/05/1988,,1988,
NW-88009867,44500,01/05/1988,30/09/2014,1988,2014
NW-88009868,44590,01/05/1988,30/09/2014,1988,2014
NW-88009866,44800,01/05/1988,,1988,
NW-88009863,45200,01/05/1988,,1988,
NW-88009864,45600,01/05/1988,,1988,
NW-88010481,45625,01/05/1998,,1998,
NW-88004538,45650,01/05/1998,,1998,
NW-88023689,45675,01/05/2015,,2015,
NW-88004556,45700,01/05/1998,,1998,
NW-88009865,45920,01/05/1988,,1988,
NW-88009872,46000,01/05/1988,,1988,
NW-88009873,46100,01/05/1988,,1988,
NW-88009874,46300,01/05/1988,,1988,
NW-88009875,46500,01/05/1988,30/09/2012,1988,2012
