"samplingpoint","year","fdate","ftime","ConcIEind","ConcIE","ConcECind","ConcEC","qualitycode","abnormalweather","Date","Status","Status Comments"
"11760","2014","12/08/2014","10:50",,18,,64,"G","No","26/09/2014","Withdrawn","Record withdrawn"
"11770","2014","21/09/2014","10:03",,91,,64,"G","No","26/09/2014","New",
"11780","2014","21/09/2014","10:15",,27,,36,"G","No","26/09/2014","New",
"11800","2014","21/09/2014","10:25",,27,,155,"I","No","26/09/2014","New",
"11830","2014","21/09/2014","10:33",,90,,240,"I","No","26/09/2014","New",
"11850","2014","21/09/2014","10:47",,18,,45,"G","No","26/09/2014","New",
"11900","2014","21/09/2014","10:57",,18,,200,"I","No","26/09/2014","New",
"11902","2014","21/09/2014","11:10",,64,,36,"G","No","26/09/2014","New",
"11904","2014","21/09/2014","11:30",,145,,400,"I","No","26/09/2014","New",
"11950","2014","21/09/2014","10:03","<",10,,18,"G","No","26/09/2014","New",
"11975","2014","21/09/2014","10:24",,27,,64,"G","No","26/09/2014","New",
"12000","2014","21/09/2014","10:48",,64,,64,"G","No","26/09/2014","New",
"12100","2014","21/09/2014","11:43",,90,,100,"G","No","26/09/2014","New",
"12150","2014","21/09/2014","12:15",,36,,118,"I","No","26/09/2014","New",
"12350","2014","21/09/2014","13:14","<",10,,36,"G","No","26/09/2014","New",
"12400","2014","21/09/2014","13:24","<",10,,164,"I","No","26/09/2014","New",
"13300","2014","21/09/2014","10:26",,18,,73,"G","No","26/09/2014","New",
"13400","2014","21/09/2014","10:47",,330,,710,"I","No","26/09/2014","New",
"13500","2014","21/09/2014","10:58",,64,,127,"I","No","26/09/2014","New",
"13600","2014","21/09/2014","11:16","<",10,,18,"G","No","26/09/2014","New",
"13700","2014","21/09/2014","11:26",,82,,136,"I","No","26/09/2014","New",
"13800","2014","21/09/2014","11:42",,91,,109,"I","No","26/09/2014","New",
"13900","2014","21/09/2014","12:20",,27,,64,"G","No","26/09/2014","New",
"14000","2014","21/09/2014","12:43",,64,,109,"I","No","26/09/2014","New",
"18700","2014","21/09/2014","10:00",,182,,200,"I","No","26/09/2014","New",
"18750","2014","21/09/2014","10:15",,290,,660,"I","No","26/09/2014","New",
"18800","2014","21/09/2014","10:28",,410,,1009,"I","No","26/09/2014","New",
"18900","2014","21/09/2014","11:00",,64,,300,"I","No","26/09/2014","New",
"19000","2014","21/09/2014","11:22",,300,,1300,"I","No","26/09/2014","New",
"19020","2014","21/09/2014","11:42",,27,,220,"I","No","26/09/2014","New",
"19030","2014","21/09/2014","12:00",,55,,91,"G","No","26/09/2014","New",
"19060","2014","21/09/2014","12:20",,18,,290,"I","No","26/09/2014","New",
"19100","2014","21/09/2014","12:44",,18,,27,"G","No","26/09/2014","New",
"19150","2014","21/09/2014","13:00",,209,,430,"I","No","26/09/2014","New",
"19160","2014","21/09/2014","13:10",,82,,100,"G","No","26/09/2014","New",
"27100","2014","21/09/2014","10:40",,18,,18,"G","No","26/09/2014","New",
"27200","2014","21/09/2014","11:10","<",10,"<",10,"G","No","26/09/2014","New",
"27300","2014","21/09/2014","11:30","<",10,"<",10,"G","No","26/09/2014","New",
"27400","2014","21/09/2014","12:45","<",10,"<",10,"G","No","26/09/2014","New",
"27500","2014","21/09/2014","12:30","<",10,"<",10,"G","No","26/09/2014","New",
"27600","2014","21/09/2014","13:30","<",10,"<",10,"G","No","26/09/2014","New",
"27700","2014","21/09/2014","14:00","<",10,"<",10,"G","No","26/09/2014","New",
"33900","2014","21/09/2014","12:35","<",10,"<",10,"G","No","26/09/2014","New",
"34000","2014","21/09/2014","13:15","<",10,,91,"G","No","26/09/2014","New",
"34100","2014","21/09/2014","11:30","<",10,"<",10,"G","No","26/09/2014","New",
"34200","2014","21/09/2014","10:55",,18,"<",10,"G","No","26/09/2014","New",
"34300","2014","21/09/2014","10:35","<",10,,27,"G","No","26/09/2014","New",
"34400","2014","21/09/2014","10:10",,18,,18,"G","No","26/09/2014","New",
"34410","2014","21/09/2014","10:00",,27,,82,"G","No","26/09/2014","New",
"35300","2014","21/09/2014","16:57",,91,,109,"I","No","26/09/2014","New",
"35500","2014","21/09/2014","17:21",,45,,82,"G","No","26/09/2014","New",
"35600","2014","21/09/2014","17:41","<",10,,18,"G","No","26/09/2014","New",
"35700","2014","21/09/2014","17:30","<",10,,55,"G","No","26/09/2014","New",
"35800","2014","21/09/2014","17:50","<",10,"<",10,"G","No","26/09/2014","New",
"35900","2014","21/09/2014","18:10","<",10,"<",10,"G","No","26/09/2014","New",
"36000","2014","21/09/2014","18:45",,200,,118,"I","No","26/09/2014","New",
"36050","2014","21/09/2014","15:52",,290,,230,"I","No","23/09/2014","New",
